Id,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-net,hours-per-week,native-country,target
12023,37, Private,220237,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,40, United-States,1
12024,24, Private,59146,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,40, United-States,0
12025,67, Private,64148,10, Divorced, Other-service, Unmarried, Black, Female,0,41, United-States,0
12026,28, Private,196621,9, Married-spouse-absent, Tech-support, Not-in-family, White, Female,0,37, United-States,0
12027,56, Private,195668,6, Married-civ-spouse, Other-service, Husband, White, Male,0,35, Cuba,1
12028,31, State-gov,263000,11, Married-civ-spouse, Protective-serv, Husband, White, Male,0,38, United-States,0
12029,33, Private,554986,10, Separated, Exec-managerial, Unmarried, White, Female,0,40, United-States,0
12030,52, ?,108211,4, Married-civ-spouse, ?, Husband, White, Male,0,40, United-States,0
12031,45, Private,217654,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,40, Germany,1
12032,53, Private,139671,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,-1902,40, United-States,1
12033,47, Private,102771,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,40, Portugal,0
12034,40, Private,213019,9, Divorced, Sales, Unmarried, White, Female,0,30, United-States,0
12035,35, Private,228493,10, Never-married, Sales, Own-child, White, Male,0,48, United-States,0
12036,65, Self-emp-not-inc,22907,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,40, United-States,0
12037,42, Private,24364,10, Married-civ-spouse, Other-service, Wife, Black, Female,0,30, United-States,0
12038,23, Federal-gov,41432,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,15, United-States,0
12039,39, Private,235259,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,40, United-States,0
12040,39, Private,343476,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,30, United-States,0
12041,37, Private,326886,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,40, United-States,0
12042,25, Private,248313,11, Never-married, Adm-clerical, Not-in-family, White, Female,0,40, United-States,0
12043,31, Self-emp-not-inc,30290,9, Never-married, Other-service, Unmarried, White, Female,0,40, United-States,0
12044,39, Private,188540,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,45, United-States,0
12045,39, Private,237943,13, Married-civ-spouse, Sales, Husband, White, Male,0,30, United-States,1
12046,25, Private,198870,13, Never-married, Adm-clerical, Own-child, Black, Male,0,35, United-States,0
12047,30, Private,233980,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,40, United-States,0
12048,37, Private,171090,5, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,48, United-States,0
12049,22, Private,353039,9, Never-married, Craft-repair, Unmarried, White, Female,0,36, Mexico,0
12050,46, Federal-gov,213140,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,-1977,40, United-States,1
12051,54, Private,188136,13, Divorced, Sales, Not-in-family, White, Female,-1408,38, United-States,0
12052,33, Private,130057,12, Never-married, Craft-repair, Not-in-family, White, Male,0,45, United-States,0
12053,70, State-gov,345339,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,40, United-States,0
12054,36, Private,182074,10, Divorced, Adm-clerical, Not-in-family, White, Male,0,45, United-States,0
12055,53, Local-gov,176557,14, Divorced, Prof-specialty, Unmarried, White, Female,0,50, United-States,0
12056,55, State-gov,71630,9, Divorced, Adm-clerical, Not-in-family, White, Female,-1617,40, United-States,0
12057,17, Private,159849,7, Never-married, Protective-serv, Own-child, White, Female,0,30, United-States,0
12058,36, Private,183425,10, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,40, United-States,0
12059,36, Self-emp-not-inc,125933,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,55, United-States,1
12060,40, Local-gov,180123,9, Married-spouse-absent, Farming-fishing, Own-child, Black, Male,0,40, United-States,0
12061,36, Private,592930,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,50, United-States,1
12062,28, Private,183802,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,55, United-States,0
12063,39, Private,77005,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,40, United-States,1
12064,49, Private,80914,3, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,45, United-States,0
12065,63, Self-emp-inc,165667,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,40, United-States,0
12066,61, Private,123991,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,20, United-States,0
12067,48, Self-emp-inc,181307,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,60, United-States,1
12068,55, Private,124137,9, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male,0,40, Poland,0
12069,18, ?,137363,10, Never-married, ?, Own-child, White, Female,0,4, United-States,0
12070,20, Private,291979,9, Married-civ-spouse, Sales, Other-relative, White, Male,0,20, United-States,0
12071,49, Private,91251,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,40, China,0
12072,27, Federal-gov,148153,9, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,40, United-States,0
12073,37, Private,131463,6, Divorced, Other-service, Unmarried, White, Female,0,33, United-States,0
12074,32, State-gov,127651,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,40, United-States,0
12075,33, Self-emp-inc,239018,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,60, United-States,0
12076,47, Private,276087,11, Married-civ-spouse, Other-service, Husband, White, Male,0,26, United-States,0
12077,34, Private,386877,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,40, United-States,0
12078,61, Private,210464,9, Divorced, Adm-clerical, Other-relative, Black, Female,0,35, United-States,0
12079,25, Private,632834,9, Never-married, Craft-repair, Own-child, Black, Male,0,40, United-States,0
12080,26, Private,245465,12, Never-married, Sales, Own-child, White, Male,0,30, United-States,0
12081,18, Private,198087,9, Never-married, Sales, Own-child, White, Female,0,30, United-States,0
12082,35, Private,27408,9, Married-civ-spouse, Sales, Husband, White, Male,0,50, United-States,0
12083,36, Private,242713,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,40, ?,0
12084,56, Private,314727,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,35, United-States,1
12085,40, State-gov,269733,11, Never-married, Craft-repair, Not-in-family, White, Male,0,40, United-States,0
12086,24, Private,177287,8, Never-married, Other-service, Own-child, White, Female,0,38, United-States,0
12087,66, Private,167711,9, Widowed, Sales, Not-in-family, White, Female,0,40, United-States,1
12088,42, Private,112181,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,40, United-States,0
12089,28, Private,339002,9, Never-married, Transport-moving, Own-child, White, Male,0,20, United-States,0
12090,39, State-gov,24721,10, Divorced, Adm-clerical, Unmarried, White, Female,0,35, United-States,0
12091,65, Self-emp-not-inc,37092,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,25, United-States,0
12092,20, Private,216563,10, Never-married, Other-service, Own-child, White, Female,0,20, United-States,0
12093,52, Private,204447,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,4386,40, United-States,1
12094,24, ?,151153,10, Never-married, ?, Not-in-family, Asian-Pac-Islander, Male,99999,50, South,1
12095,39, Private,187089,10, Divorced, Sales, Not-in-family, White, Female,0,40, United-States,0
12096,18, Private,423052,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,30, United-States,0
12097,49, Private,169180,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,40, Hong,0
12098,21, Private,104981,10, Never-married, Prof-specialty, Own-child, White, Male,0,48, United-States,0
12099,35, ?,120074,9, Married-civ-spouse, ?, Husband, White, Male,0,30, United-States,0
12100,38, Private,269323,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,40, United-States,1
12101,55, Private,141549,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,0
12102,27, Private,214858,6, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,55, United-States,0
12103,34, Private,173524,9, Separated, Adm-clerical, Unmarried, White, Female,0,40, United-States,0
12104,54, Local-gov,365049,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,40, Mexico,0
12105,38, Private,60355,9, Never-married, Adm-clerical, Unmarried, White, Female,0,40, United-States,0
12106,32, Private,86808,9, Divorced, Adm-clerical, Other-relative, White, Female,0,40, United-States,0
12107,33, State-gov,174171,10, Separated, Tech-support, Not-in-family, White, Male,0,12, United-States,0
12108,32, Federal-gov,504951,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,50, United-States,0
12109,34, Private,294064,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,50, France,0
12110,46, Private,120131,13, Married-civ-spouse, Other-service, Husband, White, Male,0,30, United-States,1
12111,48, Private,199058,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,40, United-States,1
12112,23, Private,152328,10, Never-married, Exec-managerial, Own-child, White, Male,0,40, United-States,0
12113,48, Federal-gov,88564,4, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male,0,40, United-States,0
12114,67, Private,95113,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,37, United-States,1
12115,36, Private,247558,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,60, ?,1
12116,25, Private,178421,13, Never-married, Other-service, Not-in-family, White, Female,0,20, United-States,0
12117,43, Private,484861,10, Married-civ-spouse, Craft-repair, Husband, White, Male,4064,38, United-States,0
12118,27, Local-gov,225291,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,40, United-States,0
12119,56, Private,205735,2, Separated, Machine-op-inspct, Unmarried, White, Male,0,40, United-States,0
12120,54, Self-emp-not-inc,58898,10, Married-civ-spouse, Craft-repair, Husband, White, Male,-1579,48, United-States,0
12121,39, Private,355468,9, Married-civ-spouse, Sales, Husband, White, Male,-1887,46, United-States,1
12122,60, Self-emp-not-inc,184362,9, Married-civ-spouse, Sales, Wife, White, Female,0,25, United-States,0
12123,27, Private,347513,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,40, United-States,0
12124,21, Private,138768,10, Never-married, Sales, Own-child, White, Male,0,40, United-States,0
12125,24, Private,29810,10, Never-married, Prof-specialty, Own-child, White, Female,0,40, United-States,0
12126,31, Private,126501,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,0
12127,22, Private,60783,6, Never-married, Craft-repair, Own-child, White, Male,0,15, United-States,0
12128,26, Private,179772,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,45, United-States,0
12129,45, Self-emp-inc,281911,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,48, United-States,0
12130,33, Private,70447,9, Never-married, Transport-moving, Other-relative, Asian-Pac-Islander, Male,0,40, United-States,0
12131,55, ?,449576,3, Married-civ-spouse, ?, Husband, White, Male,0,48, Mexico,0
12132,29, Private,327964,5, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,40, United-States,0
12133,72, Private,496538,9, Widowed, Adm-clerical, Not-in-family, White, Female,6360,40, United-States,0
12134,35, Self-emp-not-inc,153066,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,60, United-States,1
12135,53, State-gov,77651,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,0
12136,40, Private,119493,10, Never-married, Exec-managerial, Own-child, White, Female,0,40, United-States,0
12137,20, Private,256240,9, Never-married, Other-service, Own-child, White, Male,0,30, United-States,0
12138,69, Private,177374,9, Widowed, Adm-clerical, Unmarried, White, Female,1848,12, United-States,0
12139,41, Local-gov,37848,9, Never-married, Other-service, Unmarried, White, Female,0,25, United-States,0
12140,45, Private,129336,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,45, United-States,1
12141,27, Private,183511,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,40, United-States,0
12142,46, Self-emp-inc,120131,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,60, United-States,1
12143,55, Private,190508,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,35, United-States,0
12144,31, Private,363130,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,40, United-States,1
12145,45, Private,240356,10, Divorced, Sales, Not-in-family, White, Female,0,55, United-States,0
12146,64, Private,133166,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,5, United-States,0
12147,38, Private,32916,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,45, United-States,0
12148,17, Private,117477,6, Never-married, Other-service, Own-child, White, Male,0,40, United-States,0
12149,33, Private,34748,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,-1887,20, United-States,1
12150,22, Private,459463,8, Married-spouse-absent, Other-service, Unmarried, Black, Female,0,50, United-States,0
12151,23, Private,95989,10, Never-married, Other-service, Own-child, White, Female,0,30, United-States,0
12152,25, Private,118088,9, Never-married, Craft-repair, Unmarried, White, Male,0,40, United-States,0
12153,33, Private,150570,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,43, United-States,1
12154,31, ?,505438,9, Married-civ-spouse, ?, Husband, White, Male,0,30, Mexico,0
12155,37, Private,179731,9, Never-married, Other-service, Unmarried, White, Female,0,35, United-States,0
12156,53, Private,122109,9, Separated, Adm-clerical, Unmarried, White, Female,-1876,38, United-States,0
12157,28, Local-gov,163942,10, Never-married, Protective-serv, Own-child, White, Male,0,40, United-States,0
12158,33, Private,106670,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,40, United-States,1
12159,41, Private,123403,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,40, United-States,0
12160,61, Self-emp-inc,119986,13, Married-civ-spouse, Sales, Husband, White, Male,0,50, United-States,0
12161,25, Private,66622,10, Never-married, Other-service, Own-child, White, Female,0,25, United-States,0
12162,20, ?,40060,10, Never-married, ?, Own-child, White, Male,0,56, United-States,0
12163,35, Private,260578,9, Divorced, Exec-managerial, Unmarried, White, Female,0,40, United-States,1
12164,64, Local-gov,96076,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,40, United-States,1
12165,28, Private,70604,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,38, United-States,0
12166,39, Self-emp-not-inc,230329,10, Never-married, Prof-specialty, Not-in-family, White, Male,-1564,12, United-States,1
12167,53, Private,49715,9, Divorced, Transport-moving, Unmarried, White, Male,0,40, United-States,0
12168,28, Private,116531,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,40, United-States,0
12169,38, Federal-gov,214542,10, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,40, United-States,0
12170,25, Local-gov,335005,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,35, Italy,0
12171,19, Private,258633,10, Never-married, Other-service, Not-in-family, White, Female,0,30, United-States,0
12172,20, Private,203240,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,30, United-States,0
12173,27, Private,104457,13, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,40, ?,0
12174,55, Local-gov,99131,9, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,-2246,40, United-States,1
12175,52, State-gov,125796,14, Married-civ-spouse, Prof-specialty, Wife, Black, Female,-1848,40, United-States,1
12176,21, ?,479482,10, Never-married, ?, Own-child, White, Female,0,40, United-States,0
12177,30, Private,167790,9, Never-married, Adm-clerical, Own-child, White, Female,0,40, United-States,0
12178,47, Private,133758,9, Divorced, Exec-managerial, Not-in-family, White, Female,-1974,40, United-States,0
12179,22, Private,106843,6, Never-married, Craft-repair, Other-relative, White, Male,0,30, United-States,0
12180,24, Private,117959,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,4386,40, United-States,1
12181,26, Private,174921,13, Never-married, Sales, Not-in-family, White, Female,0,40, United-States,0
12182,27, Private,134152,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,45, United-States,0
12183,57, Private,99364,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,40, Puerto-Rico,0
12184,18, Local-gov,155905,14, Never-married, Prof-specialty, Own-child, White, Female,0,60, United-States,0
12185,30, Private,467108,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,45, United-States,0
12186,34, Self-emp-not-inc,304622,13, Divorced, Prof-specialty, Unmarried, White, Female,0,50, United-States,0
12187,40, Private,198692,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,5178,60, United-States,1
12188,60, Private,178050,9, Divorced, Other-service, Unmarried, Black, Female,0,38, United-States,0
12189,25, Private,162687,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,1
12190,39, Private,113151,13, Married-civ-spouse, Sales, Husband, White, Male,0,55, United-States,0
12191,48, Private,158924,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,40, United-States,1
12192,27, Self-emp-not-inc,141795,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,30, United-States,0
12193,33, Self-emp-not-inc,33404,9, Divorced, Craft-repair, Not-in-family, White, Male,0,65, United-States,1
12194,65, Self-emp-inc,178771,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,40, United-States,0
12195,52, Private,168553,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-1977,40, United-States,1
12196,27, Private,110648,13, Never-married, Tech-support, Own-child, White, Male,0,40, United-States,0
12197,32, Private,151053,10, Never-married, Craft-repair, Unmarried, White, Male,0,40, United-States,0
12198,45, Self-emp-not-inc,142871,10, Separated, Sales, Unmarried, White, Male,0,50, United-States,0
12199,18, ?,343161,7, Never-married, ?, Own-child, White, Male,0,16, United-States,0
12200,27, Private,183523,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,45, United-States,0
12201,57, Self-emp-not-inc,222216,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,60, United-States,0
12202,44, Private,121874,10, Divorced, Sales, Unmarried, White, Male,0,55, United-States,1
12203,30, Private,467108,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,44, United-States,1
12204,26, Private,34393,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,40, United-States,0
12205,28, Federal-gov,42003,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,40, United-States,1
12206,61, Private,180418,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,40, United-States,1
12207,49, Self-emp-not-inc,199590,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,50, Mexico,0
12208,33, Private,144949,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,40, United-States,1
12209,50, Private,155594,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,50, United-States,1
12210,53, Self-emp-not-inc,162576,4, Married-civ-spouse, Tech-support, Husband, White, Male,0,99, United-States,0
12211,33, Private,232475,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,1
12212,22, Private,269474,10, Never-married, Adm-clerical, Own-child, White, Male,0,10, United-States,0
12213,45, Local-gov,140644,13, Divorced, Protective-serv, Not-in-family, White, Male,0,40, United-States,1
12214,26, ?,39640,10, Never-married, ?, Not-in-family, White, Male,0,60, United-States,0
12215,50, ?,346014,4, Separated, ?, Own-child, White, Female,0,20, United-States,0
12216,47, Self-emp-not-inc,159726,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,1
12217,52, Federal-gov,290856,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,40, United-States,1
12218,57, Private,217886,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,36, United-States,0
12219,21, ?,199915,10, Never-married, ?, Own-child, White, Female,0,35, United-States,0
12220,58, Private,106546,9, Divorced, Adm-clerical, Unmarried, White, Female,2174,40, United-States,0
12221,50, Local-gov,220640,14, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,50, United-States,1
12222,33, Federal-gov,88913,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,40, United-States,0
12223,34, Self-emp-not-inc,288486,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, United-States,0
12224,20, Private,227411,10, Never-married, Other-service, Own-child, White, Female,0,20, United-States,0
12225,37, Local-gov,99935,14, Married-civ-spouse, Protective-serv, Husband, White, Male,7688,50, United-States,1
12226,57, Private,201112,12, Divorced, Adm-clerical, Not-in-family, Black, Female,0,40, United-States,0
12227,57, Self-emp-not-inc,123778,9, Married-civ-spouse, Sales, Husband, White, Male,0,48, United-States,0
12228,21, Private,204596,12, Never-married, Adm-clerical, Own-child, White, Female,0,8, United-States,0
12229,40, Private,190290,10, Divorced, Sales, Not-in-family, White, Male,0,40, United-States,0
12230,23, Private,196674,10, Separated, Craft-repair, Not-in-family, White, Male,0,40, United-States,0
12231,54, Private,108435,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,20, United-States,0
12232,38, Private,186359,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,40, United-States,1
12233,32, Private,137076,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,60, United-States,1
12234,22, State-gov,262819,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,40, United-States,0
12235,27, Private,171655,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,42, United-States,0
12236,42, Private,183319,3, Married-civ-spouse, Other-service, Husband, White, Male,0,40, El-Salvador,0
12237,36, Private,127306,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,47, United-States,0
12238,22, Private,68678,9, Married-civ-spouse, Sales, Husband, Black, Male,0,40, United-States,0
12239,40, State-gov,140108,5, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,40, United-States,0
12240,26, Private,263444,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,45, United-States,0
12241,46, State-gov,265554,9, Never-married, Transport-moving, Not-in-family, Black, Male,0,40, United-States,0
12242,28, Private,410216,7, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,60, United-States,1
12243,46, State-gov,20534,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,45, United-States,0
12244,55, Private,188917,9, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,40, United-States,0
12245,76, Private,98695,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,20, United-States,0
12246,27, Private,411950,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,60, United-States,0
12247,50, Private,237819,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,40, United-States,1
12248,75, Private,187424,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,20, United-States,0
12249,42, Federal-gov,198316,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,40, United-States,1
12250,36, Local-gov,139703,14, Never-married, Prof-specialty, Not-in-family, Black, Female,0,40, United-States,0
12251,51, Private,152596,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,40, United-States,0
12252,43, Private,194726,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,55, United-States,1
12253,44, Private,82601,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,40, United-States,0
12254,20, ?,229843,10, Never-married, ?, Not-in-family, Black, Female,0,20, United-States,0
12255,60, Private,122276,3, Married-civ-spouse, Craft-repair, Husband, White, Male,0,45, Italy,0
12256,47, State-gov,188386,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,45, United-States,1
12257,73, Private,92298,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,15, United-States,0
12258,27, Private,390657,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,40, United-States,0
12259,50, Private,89041,9, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,50, United-States,1
12260,35, Private,314897,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, Puerto-Rico,0
12261,31, Private,166343,9, Never-married, Machine-op-inspct, Own-child, Black, Male,0,50, ?,0
12262,45, Private,88781,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, Germany,1
12263,57, Private,41762,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,40, South,1
12264,34, Private,849857,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, Nicaragua,0
12265,19, Private,307496,10, Never-married, Other-service, Own-child, White, Female,0,16, United-States,0
12266,25, Private,324372,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,40, United-States,0
12267,39, Private,99270,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,50, Germany,1
12268,28, Private,160731,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,40, Poland,1
12269,48, State-gov,148306,14, Divorced, Prof-specialty, Unmarried, White, Female,0,40, United-States,0
12270,38, Private,259019,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,44, United-States,0
12271,53, Private,224894,3, Married-civ-spouse, Priv-house-serv, Wife, Black, Female,0,10, Haiti,0
12272,19, Private,258470,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,40, United-States,0
12273,41, Private,197919,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,60, United-States,0
12274,23, Private,213719,12, Never-married, Sales, Own-child, Black, Female,0,36, United-States,0
12275,32, Private,226535,9, Never-married, Craft-repair, Not-in-family, White, Male,0,40, United-States,0
12276,35, Private,146042,10, Divorced, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,40, United-States,0
12277,21, Private,180339,11, Never-married, Farming-fishing, Not-in-family, White, Female,-1602,30, United-States,0
12278,24, Private,99970,13, Never-married, Tech-support, Own-child, White, Male,0,40, United-States,0
12279,34, Private,300687,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,40, United-States,0
